Mes,Despesa,Receita,recliq
08/16,"105134,89449054","100711,375995275","82743,3629538452"
09/16,"116816,994235494","103209,682626256","89002,8846406075"
10/16,"100190,366504084","162544,937215323","145115,585857719"
11/16,"123988,049834522","110066,6155612","81782,7567513775"
12/16,"171048,400306782","140737,121240021","102737,322869053"
01/17,"109834,872000482","149706,488475878","129455,804543154"
02/17,"103552,736293507","102058,629562356","74946,58372209"
03/17,"106975,699256766","111423,83674449","94806,7580304893"
04/17,"103556,718246749","136353,627605906","116882,004611406"
05/17,"115534,270668164","107134,417234232","83836,619832231"
06/17,"115117,687006057","113255,560290965","93664,0805467413"
07/17,"117851,424173375","117027,744971293","96114,5156798517"
08/17,"109448,133305532","118054,114100067","98563,9865641174"
09/17,"120951,130445485","111703,513565762","96423,114809706"
10/17,"105047,834345671","128711,870420986","110477,525432475"
11/17,"112446,511313226","133191,737323326","113791,880583817"
12/17,"157100,639061669","161116,558899763","134755,389067746"
01/18,"111627,921658745","165449,735553664","144305,926854396"
02/18,"102952,325398097","112017,867467714","82655,2481754858"
03/18,"120420,733096718","113277,680092894","94573,9852761686"
04/18,"117977,988328499","146597,974922213","127121,31778007"
05/18,"107284,328443772","118251,97489554","92050,4106641912"
06/18,"109046,076571865","112771,96991978","91543,0037715981"
07/18,"117633,365997556","130446,743032489","109904,038624295"
08/18,"115938,751904629","118765,100418463","95629,7760931711"
09/18,"123008,955255353","114766,21925097","99333,551969485"
10/18,"107802,661165037","135134,950026316","117535,892564941"
11/18,"118567,768918316","127443,902470898","101931,824776808"
12/18,"152019,511512177","148068,087126999","119503,029330551"
01/19,"109052,890302554","164146,839056099","139714,451720196"
02/19,"105322,706264125","116570,18673552","86791,9588160018"
03/19,"116543,871662669","115131,682742088","95272,1233658755"
04/19,"118555,313831624","145133,60545399","125112,849674434"
05/19,"105690,199054771","118560,875250423","90959,229358481"
06/19,"104474,758280995","113184,612307955","92641,4737332639"
07/19,"120212,475123988","136055,33036206","114217,825683063"
